type,address,symbol,comment,category,disposition,dashboard_id,match,match_note,m2v_twin,ladder_page
X,X000,#ESP.M,EMERGENCY STOP,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,ESTOP_CHAIN,direct,E-stop chain; 7i84U-A TB2 IN29 sole monitor input,,2
X,X001,SZS.M,SPINDLE ZERO SPEED,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_AT_SPEED,partial,"SZS is FR-SX ZERO SPEED, not speed-reach; needs its own 7i84U-A input",,2
X,X002,FA,SPINDLE CONTROLLER NORMAL,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_FAULT,partial,FA = controller NORMAL (inverse sense of fault input),,2
X,X003,ORA1,ORIENT ARRIVAL,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,2
X,X005,MGTDPRS,MAGAZINE TOOL DITECT PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_TOOL_AVAILABLE,direct,PHS magazine tool detect,,2
X,X007,TSPB,MANUAL TOOL SELECT,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,2
X,X008,T11P.M,MAGAZINE BCD 11,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_BCD_BIT0,direct,PRS-21,,2
X,X009,T12P.M,MAGAZINE BCD 12,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_BCD_BIT1,direct,PRS-22,,2
X,X00A,T14P.M,MAGAZINE BCD 14,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_BCD_BIT2,direct,PRS-23,,2
X,X00B,T18P.M,MAGAZINE BCD 18,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_BCD_BIT3,direct,PRS-24,,2
X,X00C,T21P.M,MAGAZINE BCD 21,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,MAG_BCD_BIT4,direct,PRS-25,,2
X,X00D,MIPRS,MAGAZINE INPOSITION PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,NET_MAG_IN_POS,direct,PRS-13 magazine in-position,,2
X,X018,TCPRS,TOOL CLAMP PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,TOOL_CLAMP_CONF,direct,PRS-9,,2
X,X019,TUCPRS,TOOL UNCLAMP PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,TOOL_UNCLAMP_CONF,direct,PRS-8,,2
X,X01A,TUCFS.M,MNL TOOL UNCLAMP FS (VQC20),FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,2
X,X01B,TCFS.M,TCFS.M (20) M9C0IRS (30),FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,2
X,X01C,MDINT.M,MACHINE DOOR INTERLOCK LS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,DOOR_INTERLOCK,direct,door interlock LS,,2
X,X01D,ITMDSS.M,MACHINE DOOR INTERLOCK SS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,NET_DOOR_CLOSED,partial,second door switch (SS); decide series vs separate input,,2
X,X01E,EXRST.M,EXTERNAL RESET,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,2
X,X01F,EXFIN,EXTERNAL FIN,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,2
X,X026,AEXTRS,MEASURING ARM EXTEND RS,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,3
X,X027,ARETRS,MEASURING ARM RETRACT RS,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,3
X,X02C,TUCFS.M,MNL TOOL UNCLAMP FS (VQC30),OPTION_VERIFY,VQC30 variant — other machine variant — not applicable,,,,,3
X,X02D,TCFS.M,MNL TOOL CLAMP FS (VQC30),OPTION_VERIFY,VQC30 variant — other machine variant — not applicable,,,,,3
X,X02E,,[ILLEGIBLE],UNKNOWN,illegible in source — re-read ladder.pdf page 3,,,,,3
X,X02F,INHRLS,INHIBIT READ LS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,3
X,X030,INTX.M,X AXIS INTERLOCK,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,3
X,X031,INTY.M,Y AXIS INTERLOCK,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,3
X,X032,INTZ.M,Z AXIS INTERLOCK,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,3
X,X033,INT4.M,4 AXIS INTERLOCK,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,3
X,X034,RCTLS,RECESSING TOOL LS,OPTION_VERIFY,Measuring arm — tool-length measuring arm — verify fitted,,,,,3
X,X035,EHOPI,EXTERNAL MISS OPERATION I,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,3
X,X036,EXAL.M,EXTERNAL ALARM,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,3
X,X038,ECST.M,EXTERNAL CYCLE START,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,3
X,X039,EFHD.M,EXTERNAL FEED HOLD,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,3
X,X03A,ESBK.M,EXTERNAL SINGLE BLOCK,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,SINGLE_BLOCK_SW,partial,external single block; panel SBK handled in UI,,3
X,X03B,ECOLEN.M,EXTERNAL COOLANT ENABLE,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,3
X,X03F,SKIP1.M,SKIP 1,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,NET_PROBE_IN,partial,SKIP input — MP-3 probe trigger path,,3
X,X040,PON1.M,PALLET NO.1 ON,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,3
X,X041,PON2.M,PALLET NO.2 ON,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,3
X,X042,HLP2.M,HEAD LUBE PRESSURE 2,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,NET_LUBE_OK,partial,head lube pressure switch #2,,4
X,X043,TSPB,MANUAL TOOL SELECT,PANEL_BUTTON,operator panel pushbutton — LinuxCNC UI / pendant candidate,,,,,4
X,X052,MGCORS,MAGAZINE COVER OPEN RS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,4
X,X053,MGCCRS,MAGAZINE COVER CLOSE RS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,4
X,X058,HGPRS,HIGH GEAR PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,GEAR_HI_CONF,direct,PRS-10,,4
X,X059,LGPRS,LOW GEAR PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,GEAR_LO_CONF,direct,PRS-12,,4
X,X05B,SPTDPRS,SPINDLE TOOL DETECT PRS,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,SPINDLE_TOOL_AVAILABLE,direct,PHS spindle tool detect,,4
X,X060,MMS-PON,MMS UNIT POWER ON,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,4
X,X062,SEN-RDY,MMS SENSOR READY,OPTION_VERIFY,MMS probe — Renishaw MP-3 measuring system — parts list says fitted,,,,,4
X,X063,MMS-ST,MMS START,OPTION_VERIFY,MMS probe — Renishaw MP-3 measuring system — parts list says fitted,,,,,4
X,X068,#SVFX.M,X AXIS SERVO OFF,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,4
X,X069,#SVFY.M,Y AXIS SERVO OFF,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,4
X,X06A,#SVFZ.M,Z AXIS SERVO OFF,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,4
X,X073,THR.M,MOTOR THERMAL TRIP,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,4
X,X078,MPWS.M,MACHINE POWER SUPPLY,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,4
X,X079,HLP.M,HEAD LUBE PRESSURE,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,NET_LUBE_OK,partial,head lube pressure switch #1,,4
X,X07A,WLAL.M,WAY LUBE WARNING,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,LUBE_LEVEL,partial,way-lube warning (PS-5?) — confirm which lube device,,4
X,X07B,ONT.M,MAIN TRANS FORMER OVER HEAT,FIELD_INPUT,field-wired — must land on Mesa or be consciously dropped,,,,,4
X,X080,INTX.M,INTERLOCK X,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,4
X,X081,INTY.M,INTERLOCK Y,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,4
X,X082,INTZ.M,INTERLOCK Z,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,5
X,X083,INT4.M,INTERLOCK 4,OPTION_VERIFY,External interlock/servo-off — external axis interlock/servo-off cmds — LinuxCNC handles internally,,,,,5
X,X084,EMOP2.M,EXTERNAL MISS OPERATION 2,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
X,X085,P1ON.M,PALLET ON 1,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,5
X,X086,P2ON.M,PALLET ON 2,OPTION_VERIFY,Pallet changer — 2PC option — verify fitted on SN 060231,,,,,5
X,X089,EXAL.M,EXTERNAL ALARM,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
X,X08A,ECOLEN.M,EXTERNAL COOLANT ENABLE,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
X,X08B,EXCST.M,EXTERNAL CYCLE START,OPTION_VERIFY,External/remote interface — remote-operation interface — drop unless remote box wanted,,,,,5
