path,size,last_commit,inbound_refs,in_spine,role,refs
.claude/skills/new-machine-setup/SKILL.md,1703,2026-08-22,1,,,CLAUDE.md
.claude/skills/ssh-to-optiplex/SKILL.md,1780,2026-08-17,1,,,CLAUDE.md
.gitattributes,133,2026-09-02,0,,,
.github/workflows/authority-gate.yml,1748,2026-08-23,3,yes,,CLAUDE.md INSTALL_SPINE.md io-dashboard/project_data.js
.gitignore,2222,2026-09-02,3,,,CLAUDE.md docs/handoff_photo_tools_2026-08-25.md scripts/photo_tools/README.md
CLAUDE.md,37245,2026-09-03,22,yes,+superseded-ish-banner,.claude/skills/new-machine-setup/SKILL.md .claude/skills/ssh-to-optiplex/SKILL.md .gitignore INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md docs/authority_hierarchy.md
INSTALL_SPINE.md,11768,2026-09-05,43,,,CLAUDE.md README.md background/README.md docs/README_photo_sorting.md docs/architecture_decision.md docs/authority_hierarchy.md docs/cabinet_photo_checklist.md docs/claim_audit_2026-08-07.md
INTERFACE_ARCHITECTURE.md,22169,2026-09-05,10,yes,,CLAUDE.md INSTALL_SPINE.md docs/project_status.md io-dashboard/app.js io-dashboard/tools/generate_data.py scripts/consolidate_bbia_authority.py scripts/validate_authority.py wiring/authority_conflicts.md
README.md,19565,2026-08-23,43,yes,,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md background/parameters_factory1985_vs_live_reconciliation.md
archive/README.md,1338,2026-09-05,44,yes,+superseded-ish-banner,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
archive/crosswalk/bbia1_retrofit_destination_crosswalk.csv,6626,2026-09-05,7,yes,,INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md archive/README.md scripts/generate_label_csvs.py wiring/authority_conflicts.md wiring/labels/bbia1_mesa_end_ferrules_epson.md wiring/nc_circuit_landing_audit.md
archive/crosswalk/element_dashboard_crosswalk.csv,46950,2026-08-07,4,,,archive/README.md archive/crosswalk/element_dashboard_crosswalk_summary.md wiring/electrical_diagram_index.md wiring/nc_circuit_landing_audit.md
archive/crosswalk/element_dashboard_crosswalk_summary.md,3313,2026-08-23,2,,+superseded-ish-banner,docs/frsx_orient_model.md docs/superseded_claims_2026-08-06.md
background/README.md,3248,2026-08-15,44,yes,+superseded-ish-banner,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
background/frsx_orient_detector_capture.md,8493,2026-08-15,4,,BACKGROUND +superseded-ish-banner,README.md background/README.md docs/frsx_orient_model.md docs/spindle_motor_plg_encoder.md
background/mesa_pcw_bitfile_inquiry.md,7127,2026-08-23,2,,BACKGROUND +superseded-ish-banner,background/README.md docs/spindle_motor_plg_encoder.md
background/parameter_recovery.md,9929,2026-08-21,11,,BACKGROUND,README.md background/README.md background/frsx_orient_detector_capture.md background/parameters_factory1985_vs_live_reconciliation.md docs/ballscrew_lead_2026-08-17.md docs/parameters_sn060231.md docs/pre_power_deliverables.md docs/resolver_commissioning.md
background/parameters_factory1985_vs_live_reconciliation.md,7743,2026-08-21,3,,BACKGROUND +superseded-ish-banner,background/README.md docs/ballscrew_lead_2026-08-17.md docs/crt_screen_survey_2026-08-21.md
bom/Mazak_VQC_20-40_Retrofit_IO_Workbook.xlsx,25934,2026-08-15,4,,,README.md bom/README.md docs/project_status.md wiring/README.md
bom/README.md,11194,2026-08-23,44,yes,+superseded-ish-banner,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet,402616,2026-09-03,3,,,diagrams/qelectrotech/README.md diagrams/qelectrotech/manifest.json scripts/generate_qelectrotech_project.py
diagrams/qelectrotech/README.md,2167,2026-08-18,44,yes,,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
diagrams/qelectrotech/elements/00_interface_overview__bbia_plane_a.elmt,1320,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/00_interface_overview__cna_plane_b.elmt,1326,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/00_interface_overview__linuxcnc.elmt,1549,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/00_interface_overview__mesa_7i49.elmt,1599,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/00_interface_overview__mesa_7i84.elmt,1571,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/00_interface_overview__relay_boundary.elmt,1651,2026-08-18,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn11_discrete__7i84u_a_tb2.elmt,1830,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn11_discrete__7i84u_a_tb3.elmt,1529,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn11_discrete__7i84u_b_tb3.elmt,1818,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn11_discrete__cn11.elmt,3209,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn11_discrete__ir_boundary.elmt,5384,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn1_discrete__7i84u_a_tb2.elmt,1820,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn1_discrete__7i84u_a_tb3.elmt,1243,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn1_discrete__7i84u_b_tb3.elmt,1234,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn1_discrete__cn1.elmt,2373,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn1_discrete__ir_boundary.elmt,3730,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn200_discrete__7i84u_b_tb3.elmt,1241,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn200_discrete__cn200.elmt,1293,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn200_discrete__ir_boundary.elmt,1557,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn2_discrete__7i84u_a_tb2.elmt,3257,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn2_discrete__7i84u_a_tb3.elmt,2117,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn2_discrete__7i84u_b_tb3.elmt,1513,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn2_discrete__cn2.elmt,4877,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn2_discrete__ir_boundary.elmt,8695,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn3_discrete__7i84u_a_tb3.elmt,1541,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn3_discrete__7i84u_b_tb3.elmt,1526,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn3_discrete__cn3.elmt,2129,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn3_discrete__ir_boundary.elmt,3228,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_discrete__7i84u_a_tb3.elmt,2397,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_discrete__cn4.elmt,2396,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_discrete__ir_boundary.elmt,3772,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_spindle_analog__7i49_p3.elmt,1657,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_spindle_analog__cn4.elmt,1877,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn4_spindle_analog__hold_termination.elmt,1323,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn5_discrete__7i84u_a_tb3.elmt,1241,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn5_discrete__cn5.elmt,1285,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn5_discrete__ir_boundary.elmt,1563,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn6_discrete__7i84u_a_tb2.elmt,1525,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn6_discrete__7i84u_a_tb3.elmt,1246,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn6_discrete__7i84u_b_tb2.elmt,1243,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn6_discrete__cn6.elmt,2108,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_a_cn6_discrete__ir_boundary.elmt,3200,2026-09-03,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_axis_velocity_commands__7i49_p3.elmt,1500,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_axis_velocity_commands__7i49_p4.elmt,2052,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_axis_velocity_commands__tbd.elmt,2910,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_cna10_legacy_load_display__cna10.elmt,2385,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_cna10_legacy_load_display__hold_termination.elmt,2506,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__7i49_p4.elmt,2896,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__cna3.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_x_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__7i49_p4.elmt,2917,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__cna4.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_y_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__7i49_p3.elmt,2896,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__cna5.elmt,3037,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__hold_termination.elmt,1320,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/elements/plane_b_z_resolver__new_cable_shields.elmt,1352,2026-09-02,1,,,diagrams/qelectrotech/MESAC_VQC2040_Retrofit.qet
diagrams/qelectrotech/manifest.json,448,2026-09-03,7,,,diagrams/qelectrotech/README.md diagrams/wireviz/README.md docs/manual_set/README.md scripts/build_manual_set.py scripts/create_wiring_workbook.py scripts/generate_qelectrotech_project.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/README.md,2673,2026-08-20,44,yes,,.gitignore CLAUDE.md INSTALL_SPINE.md INTERFACE_ARCHITECTURE.md README.md background/frsx_orient_detector_capture.md background/mesa_pcw_bitfile_inquiry.md background/parameter_recovery.md
diagrams/wireviz/index.html,5685,2026-09-03,5,,,.gitignore diagrams/wireviz/README.md io-dashboard/README.md io-dashboard/tools/build_standalone.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/manifest.json,5239,2026-09-03,7,,,diagrams/qelectrotech/README.md diagrams/wireviz/README.md docs/manual_set/README.md scripts/build_manual_set.py scripts/create_wiring_workbook.py scripts/generate_qelectrotech_project.py scripts/generate_wireviz_diagrams.py
diagrams/wireviz/rendered/00_interface_overview.gv,14465,2026-08-20,0,,,
diagrams/wireviz/rendered/00_interface_overview.html,34053,2026-08-20,2,,,diagrams/wireviz/README.md diagrams/wireviz/index.html
diagrams/wireviz/rendered/00_interface_overview.svg,32565,2026-08-20,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn11_discrete.gv,26663,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn11_discrete.html,73461,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn11_discrete.svg,72041,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn1_discrete.gv,18652,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn1_discrete.html,50032,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn1_discrete.svg,48615,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn200_discrete.gv,6730,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn200_discrete.html,15362,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn200_discrete.svg,13939,2026-09-03,1,,,diagrams/wireviz/index.html
diagrams/wireviz/rendered/plane_a_cn2_discrete.gv,42610,2026-09-03,0,,,
diagrams/wireviz/rendered/plane_a_cn2_discrete.html,123556,2026-09-03,1,,,diagrams/wireviz/index.html
