ID,From,To,From Label,To Label,Wire,Signal,Status,Subsystem,Diagram
A-003,CN200 pin 3,TB3 IN15,MMS SKIP,probe-in,MMS SKIP,PROBE_SKIP1_CANDIDATE,PROPOSED,MMS receiver,Plane A
A-023,CN2 pin 3,TB3 IN9,TOOL UNCLAMP (FOOT SW),manual-unclamp-pb,149,MANUAL_TOOL_UNCLAMP_PB,FACTORY_INTERFACE,ATC,Plane A
A-024,CN2 pin 4,TB2 IN19,MAGAZINE ROT POS 1,mag-bcd-bit0,150,MAG_BCD_BIT0,FACTORY_INTERFACE,ATC,Plane A
A-025,CN2 pin 5,TB2 IN20,MAGAZINE ROT POS 2,mag-bcd-bit1,221,MAG_BCD_BIT1,FACTORY_INTERFACE,ATC,Plane A
A-026,CN2 pin 6,TB2 IN21,MAGAZINE ROT POS 4,mag-bcd-bit2,222,MAG_BCD_BIT2,FACTORY_INTERFACE,ATC,Plane A
A-027,CN2 pin 7,TB2 IN22,MAGAZINE ROT POS 8,mag-bcd-bit3,223,MAG_BCD_BIT3,FACTORY_INTERFACE,ATC,Plane A
A-028,CN2 pin 8,TB2 IN23,MAGAZINE ROT POS 10,mag-bcd-bit4,224,MAG_BCD_BIT4,FACTORY_INTERFACE,ATC,Plane A
A-029,CN2 pin 9,TB2 IN28,MAGAZINE POSITION OK,mag-in-pos,225,MAG_IN_POS,FACTORY_INTERFACE,ATC,Plane A
A-031,CN2 pin 11,TB3 IN6,MAGAZINE COVER OPEN,mag-cover-open-conf,218,MAG_COVER_OPEN_CONF,FACTORY_INTERFACE,ATC,Plane A
A-032,CN2 pin 12,TB3 IN7,MAGAZINE FWD/REV SW,mag-cover-closed-conf,219,MAG_COVER_CLOSE_CONF,FACTORY_INTERFACE,ATC,Plane A
A-033,CN2 pin 13,TB3 IN2,LUBE TIMER,mag-tool-avail,381,MAG_TOOL_AVAILABLE,FACTORY_INTERFACE,lube,Plane A
A-035,CN2 pin 15,TB3 IN6,X-AXIS ZERO RETURN DEC,home-x,*DECX,X_HOME,FACTORY_INTERFACE,homing,Plane A
A-036,CN2 pin 16,TB3 IN7,Y-AXIS ZERO RETURN DEC,home-y,*DECY,Y_HOME,FACTORY_INTERFACE,homing,Plane A
A-058,CN2 pin 38,TB2 IN24,MACHINE DOOR INTERLOCK,door-interlock,238,DOOR_INTERLOCK,FACTORY_INTERFACE,safety,Plane A
A-064,CN2 pin 44,TB2 IN30,FOOT SWITCH,none,149B,MANUAL_TOOL_CLAMP_PB,RESERVED,operator,Plane A
A-071,CN1 pin 1,TB2 IN16,TOOL UNCLAMP,tool-unclamped,208,TOOL_UNCLAMP_CONF,FACTORY_INTERFACE,MC output,Plane A
A-072,CN1 pin 2,TB3 IN15,TOOL CLAMP,tool-clamped,209,TOOL_CLAMP_CONF,FACTORY_INTERFACE,MC output,Plane A
A-073,CN1 pin 3,TB2 IN17,HIGH GEAR,gear-hi-conf,210,GEAR_HI_CONF,FACTORY_INTERFACE,gear,Plane A
A-074,CN1 pin 4,TB2 IN18,LOW GEAR,gear-lo-conf,212,GEAR_LO_CONF,FACTORY_INTERFACE,gear,Plane A
A-075,CN1 pin 5,TB2 IN26,2nd-S LEVEL,coolant-low,232,COOLANT_LOW,FACTORY_INTERFACE,coolant lvl,Plane A
A-084,CN1 pin 14,TB3 IN8,Z-AXIS ZERO RETURN DEC,home-z,*DECZ,Z_HOME,FACTORY_INTERFACE,homing,Plane A
A-091,CN5 pin 1,TB3 IN8,EXTERNAL TRIP PROTECTOR,thermal-alarm,144,THERMAL_ALARM_CHAIN,FACTORY_INTERFACE,safety,Plane A
A-117,CN6 pin 7,TB2 IN31,SERVO READY,servo-ready,SA,SERVO_READY,FACTORY_INTERFACE,servo,Plane A
A-118,CN6 pin 8,TB2 OUT9,WORK LIGHT,none,WL,WORK_LIGHT,RESERVED,aux,Plane A
A-137,CN6 pin 27,TB3 IN10,SERVO ERROR,servo-fault,SER,SERVO_FAULT,FACTORY_INTERFACE,servo,Plane A
A-149,CN6 pin 39,TB2 IN25,SPINDLE HEAD LUBE PRESSURE,lube-ok,355,LUBE_OK,FACTORY_INTERFACE,lube,Plane A
A-160,CN6 pin 50,TB3 IN3,MAGAZINE SPINDLE TOOL DETECTOR,spindle-tool-avail,382,SPINDLE_TOOL_AVAILABLE,FACTORY_INTERFACE,ATC,Plane A
A-174,CN3 pin 14,TB3 OUT4,ORIENT COMMAND,spindle-orient-cmd,ORI C1,SPINDLE_ORIENT_CMD,FACTORY_INTERFACE,spindle,Plane A
A-175,CN3 pin 15,TB3 OUT5,ORIENT LOOP CHECK,orient-lo-gear,CTL,SPINDLE_ORIENT_LOGEAR,FACTORY_INTERFACE,spindle,Plane A
A-197,CN3 pin 37,TB3 IN2,+Y OVER TRAVEL,limit-y-plus,+LY,Y_LIMIT_PLUS,FACTORY_INTERFACE,limit,Plane A
A-198,CN3 pin 38,TB3 IN5,-Z OVER TRAVEL,limit-z-minus,-LZ,Z_LIMIT_MINUS,FACTORY_INTERFACE,limit,Plane A
A-199,CN3 pin 39,TB3 IN1,OIL TEMP DETECTOR,atc-z-zone,147,ATC_ZONE_Z,FACTORY_INTERFACE,alarm,Plane A
A-204,CN3 pin 44,TB3 IN0,SPINDLE TIMER,atc-y-zone,SPTD,ATC_ZONE_Y,FACTORY_INTERFACE,spindle,Plane A
A-213,CN11 pin 3,TB2 OUT10,TOOL UNCLAMP,tool-unclamp-sol,710,TOOL_UNCLAMP_SOL,FACTORY_INTERFACE,PLC output,Plane A
A-214,CN11 pin 4,TB3 OUT7,GEAR SHIFT HIGH,gear-hi-sol,712,GEAR_HI_SOL,FACTORY_INTERFACE,PLC output,Plane A
A-215,CN11 pin 5,TB2 OUT8,GEAR SHIFT LOW,gear-lo-sol,213,GEAR_LO_SOL,FACTORY_INTERFACE,PLC output,Plane A
A-216,CN11 pin 6,TB3 OUT3,SPINDLE AIR BLAST,air-blast,215,AIR_BLAST,FACTORY_INTERFACE,PLC output,Plane A
A-217,CN11 pin 7,TB3 OUT4,WORK AIR BLAST,none,216,WORK_AIR_BLAST,RESERVED,PLC output,Plane A
A-223,CN11 pin 13,TB3 OUT7,FLOOD COOLANT,flood-valve,231,FLOOD_VALVE,FACTORY_INTERFACE,PLC output,Plane A
A-225,CN11 pin 15,TB2 OUT11,FLOOD COOLANT MOTOR STARTER,flood-coolant,236,COOLANT_ON,FACTORY_INTERFACE,PLC output,Plane A
A-226,CN11 pin 16,TB3 OUT3,HYDR. PUMP HEAD LUBE PUMP,hyd-pump-on,235,HYD_PUMP_ON,FACTORY_INTERFACE,PLC output,Plane A
A-251,CN4 pin 1,TB3 IN5,SPINDLE ZERO SPEED,spindle-zero-speed,231,SPINDLE_ZERO_SPEED,FACTORY_INTERFACE,spindle,Plane A
A-253,CN4 pin 3,TB3 IN14,SPINDLE REV ROLLER THERMAL,spindle-fault,FA,SPINDLE_FAULT,FACTORY_INTERFACE,alarm,Plane A
A-259,CN4 pin 9,TB3 OUT0,SPINDLE FORWARD,spindle-fwd,SRN,SPINDLE_FWD,FACTORY_INTERFACE,spindle,Plane A
A-260,CN4 pin 10,TB3 OUT1,SPINDLE REVERSE,spindle-rev,SRI,SPINDLE_REV,FACTORY_INTERFACE,spindle,Plane A
