Wire,Location,Signal,Destination
208,CN1-1,TOOL UNCLAMP,CA3-A
209,CN1-2,TOOL CLAMP,CA3-B
210,CN1-3,HIGH GEAR,CA3-C
212,CN1-4,LOW GEAR,CA3-D
232,CN1-5,2nd-S LEVEL,CA3-L
233,CN1-6,HEAD LUBE PRESSURE,CA3-E
0G,CN1-7,DC24V COM (-) NC,CA3-T
*DECZ,CN1-14,Z-AXIS ZERO RETURN DEC,CA3-K
SP16,CN1-15,SPARE INPUT,CA3-H
SP17,CN1-16,SPARE INPUT,CA3-J
SP18,CN1-17,SPARE OUTPUT,CA3-M
SP19,CN1-18,SPARE OUTPUT,CA3-N
+24V,CN1-20,DC24V +COM (MC),CA3-S
362,CN2-1,MAGAZINE TIMER,CA4-W
351,CN2-2,MAGAZINE FWD/REV SHIFTER,CA4-V
149,CN2-3,TOOL UNCLAMP (FOOT SW),CA4-P
150,CN2-4,MAGAZINE ROT POS 1,CA4-X
221,CN2-5,MAGAZINE ROT POS 2,CA4-A
222,CN2-6,MAGAZINE ROT POS 4,CA4-B
223,CN2-7,MAGAZINE ROT POS 8,CA4-C
224,CN2-8,MAGAZINE ROT POS 10,CA4-D
225,CN2-9,MAGAZINE POSITION OK,CA4-E
218,CN2-10,MAGAZINE POWER OPEN,CA4-F
218,CN2-11,MAGAZINE COVER OPEN,CA4-G
219,CN2-12,MAGAZINE FWD/REV SW,CA4-H
381,CN2-13,LUBE TIMER,CA4-K
+LTZ,CN2-14,Z-AXIS OVER TRAVEL,CA4-L
*DECX,CN2-15,X-AXIS ZERO RETURN DEC,CA4-T
*DECY,CN2-16,Y-AXIS ZERO RETURN DEC,CA4-U
0G,CN2-17,DC24V COM (-) NC,CA4-M
0G,CN2-18,DC24V COM (-),CA4-N
0G,CN2-19,DC24V COM (-),CA4-S
P24,CN2-21,DC24V +COM (MACHINE),CA4-T
342,CN2-34,TOOL MEASURE DEVICE TIMER,CA4-J
345,CN2-35,TOOL MEASURE DEVICE SW,CA4-K
362,CN2-36,MAGAZINE LUBE TIMER,CA4-L
239,CN2-37,MAGAZINE LUBE PRESS SW,CA4-M
238,CN2-38,MACHINE DOOR INTERLOCK,CA4-N
340,CN2-39,SPARE INPUT 2,CA4-S
EHB,CN2-40,EMERGENCY STOP,CA4-a
EMC,CN2-41,EMG STOP 2nd,CA4-b
382,CN2-42,SPINDLE TOOL CLAMP OK,CA4-f
524,CN2-43,DC24V SELECTOR (X Y Z 4 5 6),CA4-
