Connector,Shell,Pin,Wire_No,Signal,Function,Inside_Connec,Outside_Connec
CN1,MR-20RMW,1,208,TOOL UNCLAMP,MC output,CNQ-29,CA3-A
CN1,MR-20RMW,2,209,TOOL CLAMP,MC output,1-24,CA3-B
CN1,MR-20RMW,3,210,HIGH GEAR,gear,4-16,CA3-C
CN1,MR-20RMW,4,212,LOW GEAR,gear,4-17,CA3-D
CN1,MR-20RMW,5,-LZ2,2nd -Z OVER TRAVEL,limit,CN6-13,CA3-L
CN1,MR-20RMW,6,355,HEAD LUBE PRESSURE,lube,CN6-39,CA3-E
CN1,MR-20RMW,7,0G,DC24V COM (-) NC,common,,CA3-T
CN1,MR-20RMW,14,*DECZ,Z-AXIS ZERO RETURN DEC,homing,CNB-14,CA3-K
CN1,MR-20RMW,15,SP16,SPARE INPUT,spare,1-34,CA3-H
CN1,MR-20RMW,16,SP17,SPARE INPUT,spare,4-20,CA3-J
CN1,MR-20RMW,17,SP18,SPARE OUTPUT,spare,3-24,CA3-M
CN1,MR-20RMW,18,SP19,SPARE OUTPUT,spare,3-37,CA3-N
CN1,MR-20RMW,20,+24V,DC24V +COM (MC),power,,CA3-S
CN2,MR-50RMW,1,362,WAY LUBE WARNING TIMER,lube,CN3-36,CA4-V
CN2,MR-50RMW,2,351,MACHINE POWER SUPPLY (X78 MPWS.M; fed by PS-1 hydraulic pressure switch per p133),safety,CND4-47,CA4-W
CN2,MR-50RMW,3,149,TOOL UNCLAMP (FOOT SW),ATC,7-23,CA4-P
CN2,MR-50RMW,4,150,MANUAL MAGAZINE ROTATE PB (X07 TSPB.M),ATC,1-40,CA4-X
CN2,MR-50RMW,5,221,MAGAZINE POSITION 1,ATC,1-40,CA4-A
CN2,MR-50RMW,6,222,MAGAZINE POSITION 2,ATC,1-6,CA4-B
CN2,MR-50RMW,7,223,MAGAZINE POSITION 4,ATC,1-19,CA4-C
CN2,MR-50RMW,8,224,MAGAZINE POSITION 8,ATC,7-20,CA4-D
CN2,MR-50RMW,9,225,MAGAZINE POSITION 10,ATC,7-21,CA4-E
CN2,MR-50RMW,10,213,MAGAZINE INPOSITION (MIPRS PRS-13),ATC,4-14,CA4-F
CN2,MR-50RMW,11,218,MAGAZINE COVER OPEN,ATC,4-14,CA4-G
CN2,MR-50RMW,12,219,MAGAZINE FWD/REV SW,ATC,4-15,CA4-H
CN2,MR-50RMW,13,381,LUBE TIMER,lube,CN6-37,CA4-K
CN2,MR-50RMW,14,+LY2,2nd +Y OVER TRAVEL (PRS-55; to relay 1237/PYOT),limit,1-12,CA4-e
CN2,MR-50RMW,15,*DECX,X-AXIS ZERO RETURN DEC,homing,1-13,CA4-T
CN2,MR-50RMW,16,*DECY,Y-AXIS ZERO RETURN DEC,homing,1-17,CA4-U
CN2,MR-50RMW,17,0G,DC24V COM (-) NC,common,,CA4-M
CN2,MR-50RMW,18,0G,DC24V COM (-),common,,CA4-N
CN2,MR-50RMW,19,0G,DC24V COM (-),common,,CA4-S
CN2,MR-50RMW,21,P24,DC24V +COM (MACHINE),power,CN6-21,CA4-T
CN2,MR-50RMW,34,342,TOOL MEASURING ARM EXTEND,probe,CNQ-34,CA4-J
CN2,MR-50RMW,35,343,TOOL MEASURING ARM RETRACT,probe,1-8,CA4-K
CN2,MR-50RMW,36,238,TOOL LENGTH MEASURE DEC.,probe,2-13,CA4-L
CN2,MR-50RMW,37,239,TOOL MEASURE SKIP,probe,2-14,CA4-M
CN2,MR-50RMW,38,341,MACHINE DOOR INTERLOCK,safety,CN6-23,CA4-U
CN2,MR-50RMW,39,340,MACHINE DOOR INTERLOCK 2,safety,2-24,CA4-S
CN2,MR-50RMW,40,EMB,EMERGENCY STOP,safety,CN5-4,CA4-a
CN2,MR-50RMW,41,EMC,EMG STOP 2nd,safety,CN5-5,CA4-b
CN2,MR-50RMW,42,382,SPINDLE TOOL DETECTOR,spindle,CN6-50,CA4-f
CN2,MR-50RMW,43,G24,DC24V -COM (ELECTRICAL CAB),common,CN5-8,CA4-
CN2,MR-50RMW,44,149B,FOOT SWITCH,operator,1-38,CA4-R
CN2,MR-50RMW,45,CH24,HEAD LUBE PRESS ALARM,lube,4-3,CA4-j
CN2,MR-50RMW,46,SP29,SPARE OUTPUT,spare,4-4,CA4-j
CN2,MR-50RMW,47,SP30,SPARE OUTPUT,spare,3-23,CA4-k
CN2,MR-50RMW,49,+24V,DC24V +COM (NC),power,,CA4-N
CN2,MR-50RMW,50,+24V,DC24V +COM (NC),power,,CA4-P
CN3,MR-50RMW,1,*ESP,EMERGENCY STOP (chain status to NC X000),safety,CND1-3,TB5-D1 1-1
CN3,MR-50RMW,2,141,HEAD LUBE PRESSURE ALARM,lube,4-48,TB5-A11
CN3,MR-50RMW,3,142,TOOL CLAMP INTERLOCK,interlock,1-22,TB5-D2 1-02
CN3,MR-50RMW,4,143,ZERO SPEED,spindle,1-1,TB5-0101
CN3,MR-50RMW,8,NO,COM,common,CN4-6,TB5-D2 2-10
CN3,MR-50RMW,9,SET2,COM,spindle,CN4-8,TB5-09
CN3,MR-50RMW,10,SET1,SPINDLE SET FORWARD,spindle,CN4-7,TB5-D1 1-97
CN3,MR-50RMW,11,SRN,SPINDLE FORWARD,spindle,CN4-9,TB5-A111
CN3,MR-50RMW,12,SRI,SPINDLE REVERSE,spindle,CN4-10,TB5-A-21
CN3,MR-50RMW,14,ORI C1,ORIENT COMMAND,spindle,CN4-12,TB5-D2 2-A1
CN3,MR-50RMW,15,CTL,LOW GEAR SHIFT,spindle,CN4-13,TB5-A151
CN3,MR-50RMW,33,COM,COM (DECEL) (CTL),common,CN4-15,TB5-D2 1-12
CN3,MR-50RMW,35,WLAL,WAY LUBE ALARM,alarm,1-49,TB5-D2 2-A3
CN3,MR-50RMW,36,362,MAGAZINE TIMER,ATC,CN2-1,TB5-E
CN3,MR-50RMW,37,+LY,+Y OVER TRAVEL,limit,CNB-40,TB5-0122
CN3,MR-50RMW,38,-LZ,-Z OVER TRAVEL,limit,1-38,TB5-D2 1-B12
CN3,MR-50RMW,39,147,TOOL DETECTOR (MGTDPRS X05),ATC,1-7,TB503-b11
CN3,MR-50RMW,40,SP1,spare,spare,,
CN3,MR-50RMW,41,SP2,spare,spare,,
CN3,MR-50RMW,42,SP3,spare,spare,,
CN3,MR-50RMW,43,SP4,spare,spare,,
CN3,MR-50RMW,44,SPTD,SPINDLE TOOL DETECTOR (SPTDPRS X5B),ATC,4-26,TB504-0101
CN3,MR-50RMW,49,+24V,DC24V +COM,power,,
CN3,MR-50RMW,50,+24V,DC24V +COM,power,,
CN4,MR-20RMW,1,ZS1,SPINDLE ZERO SPEED,spindle,CN6-26,CON1-3
CN4,MR-20RMW,2,ZS2,+COM,common,CNB-33,CON 2-4
CN4,MR-20RMW,3,FA,SPINDLE CONTROLLER NORMAL,alarm,1-2,TB5-D2 1-D0
CN4,MR-20RMW,4,FC,COM,common,2-33,TB5-1-12
CN4,MR-20RMW,5,MS,MS,spindle,CN4-6,TB5-D2 1-A2
CN4,MR-20RMW,6,OS,OS,spindle,CN3-8,TB5-14
CN4,MR-20RMW,7,SET1,SPINDLE SET,spindle,3-10,TB5-1-7
CN4,MR-20RMW,8,SET2,SPINDLE SET (2),spindle,3-9,TB5-1-8
CN4,MR-20RMW,9,SRN,SPINDLE FORWARD,spindle,3-11,TB5-D1 1-A5
CN4,MR-20RMW,10,SRI,SPINDLE REVERSE,spindle,3-12,TB5-A-6
CN4,MR-20RMW,12,ORI C1,ORIENT COMMAND,spindle,CN3-14,TB5-1-25
CN4,MR-20RMW,13,CTL,ORIENT LOOP CHECK,spindle,1-15,TB5-1-17
CN4,MR-20RMW,15,COM,COM,common,CN3-33,TB5-1-26
CN4,MR-20RMW,16,ORA1,SPINDLE ORIENT ARRIVAL,spindle,1-32,TB5-1-23
CN4,MR-20RMW,17,ORA2,SPINDLE ORIENT ARRIVAL (2),spindle,1-33,TB5-1-24
CN5,MR-20RMW,1,144,THERMAL TRIP PROTECTOR,safety,CND4-46,TB1-144
CN5,MR-20RMW,2,RST,RESET OUT,NC iface,CNB-1,-RST
CN5,MR-20RMW,3,146,MAIN TRANSF. OVER HEAT,safety,4-50,-146
CN5,MR-20RMW,4,EMB,EMG STOP,safety,CN2-40,-EMB
CN5,MR-20RMW,5,EMC,EMG STOP 2nd,safety,CN2-41,-57
CN5,MR-20RMW,6,0G,-COM (DC),common,CNB-3,-0G
CN5,MR-20RMW,7,0G,-COM (DC),common,CN12-37,-0G
CN5,MR-20RMW,8,G24,-COM (AC),common,CN2-43,-G24
CN5,MR-20RMW,9,EFHD,EXT FEED HOLD,operator,CN23-9,-EFHD
CN5,MR-20RMW,10,RCTLS,RECESSING TOOL L.S.,probe,2-37,-RCTLS
CN5,MR-20RMW,11,ISP1,INPUT SHARE 1,spare,2-12,-ISP1
CN5,MR-20RMW,12,ISP2,INPUT SHARE 2,spare,CND2-7,-ISP2
CN5,MR-20RMW,13,DINTCSS,MACHINE DOOR INTERLOCK CANCEL (SS-51 selector; X1D),safety,1-37,TB1-151
CN5,MR-20RMW,14,*DEC4,4 AXIS ZERO RETURN DEC.,homing,4-44,TB1-34
CN5,MR-20RMW,15,152,INDEX TABLE TYPE 4-AXIS UNCLAMPED (LS),4th axis,4-18,-152
CN5,MR-20RMW,16,INHRLS,INHIBIT READ LS,NC iface,2-10,-INHRLS
CN5,MR-20RMW,17,OSP1,OUTPUT SHARE 1,spare,2-44,-OSP1
CN5,MR-20RMW,18,OSP2,OUTPUT SHARE 2,spare,2-28,-OSP2
CN5,MR-20RMW,19,+24V,+COM (DC),power,1-33,+24V
CN5,MR-20RMW,20,+24V,+COM (DC),power,1-33,+24V
CN6,MR-50RMW,1,CYFIN,PATO LIGHT (patrol light),aux,CND23-29,CN301A-1
CN6,MR-50RMW,2,M44T,mag M44T,ATC,3-48,
CN6,MR-50RMW,3,M43T,mag M43T,ATC,3-49,
CN6,MR-50RMW,4,M45T,mag M45T,ATC,3-45,
CN6,MR-50RMW,5,,(not used - blank on source table),spare,,
CN6,MR-50RMW,7,SA,SERVO READY,servo,CNB-13,
CN6,MR-50RMW,8,WL,WORK LIGHT,aux,3-34,
CN6,MR-50RMW,9,SSET,SPINDLE SET,spindle,23-43,
CN6,MR-50RMW,10,CTL,LOW GEAR SELECT,gear,23-48,
CN6,MR-50RMW,11,OTR,OVER TRAVEL RELEASE,limit,23-22,
CN6,MR-50RMW,12,+LY2,+Y 2nd OVER TRAVEL,limit,CN2-14,
CN6,MR-50RMW,13,-LZ2,-Z 2nd OVER TRAVEL,limit,CN1-5,
CN6,MR-50RMW,17,+24V,DC24V COM (+),power,CN11-33,CN30A TB1-1
CN6,MR-50RMW,18,TAPC,TAP COOLANT,coolant,CNB-46,
CN6,MR-50RMW,19,MMAL,MIL FUNCTION,MFN,2-25,
CN6,MR-50RMW,20,PW1,POWER ON,power,23-17,
CN6,MR-50RMW,21,P24,DC24V +COM (MACHINE),common,CN2-21,TB1-1
CN6,MR-50RMW,23,341,MACHINE DOOR INTERLOCK,safety,CN2-38,
CN6,MR-50RMW,24,340,MACHINE DOOR INTERLOCK 2,safety,CN2-39,
CN6,MR-50RMW,25,,(not used - blank on source table),spare,,
CN6,MR-50RMW,26,ZS1,SPINDLE ZERO SPEED,spindle,CN4-1,
CN6,MR-50RMW,27,SFR,SPINDLE FORWARD,spindle,3-14,
CN6,MR-50RMW,28,SRV,SPINDLE REVERSE,spindle,3-13,
CN6,MR-50RMW,29,SMR,SPINDLE RUN,spindle,3-20,
CN6,MR-50RMW,30,ORCH1,ORIENT COMMAND,spindle,23-45,
CN6,MR-50RMW,33,TCME,TOOL CHANGE MEMORY,ATC,CND23-49,
CN6,MR-50RMW,34,NSPT,NO SPARE TOOL,ATC,2-48,
CN6,MR-50RMW,37,381,MAGAZINE TOOL DETECTOR,ATC,CN2-13,
CN6,MR-50RMW,39,355,HEAD LUBE PRESSURE,lube,CN1-6,
CN6,MR-50RMW,41,0G,DC24V COM (NC),common,CNB23-1,
CN6,MR-50RMW,42,0G,DC24V COM (NC),common,CNB23-3,
CN6,MR-50RMW,43,0G,DC24V COM (NC),common,CNB23-4,
CN6,MR-50RMW,44,0G,DC24V COM (NC),common,CNB23-6,
CN6,MR-50RMW,46,0G,DC24V COM (NC),common,CNB23-18,
CN6,MR-50RMW,47,0G,DC24V COM (NC),common,CNB-48,
CN6,MR-50RMW,50,382,SPINDLE TOOL DETECTOR,ATC,CN2-42,
CN11,MR-20RMW,1,708B,MAGAZINE CW (REV),PLC output,,SSR bd CN11-1
CN11,MR-20RMW,2,708A,MAGAZINE CCW (FOR),PLC output,,SSR bd CN11-2
CN11,MR-20RMW,3,710,TOOL UNCLAMP,PLC output,,SSR bd CN11-3
CN11,MR-20RMW,4,712,GEAR SHIFT HIGH,PLC output,,SSR bd CN11-4
CN11,MR-20RMW,5,713,GEAR SHIFT LOW,PLC output,,SSR bd CN11-5
CN11,MR-20RMW,6,715,SPINDLE AIR BLAST,PLC output,,SSR bd CN11-6
CN11,MR-20RMW,7,716,WORK AIR BLAST,PLC output,,SSR bd CN11-7
CN11,MR-20RMW,8,717,MIST COOLANT,PLC output,,SSR bd CN11-8
CN11,MR-20RMW,9,762,TOOL MEASURING ARM EXTEND,PLC output,,SSR bd CN11-9
CN11,MR-20RMW,10,761,AIR JET,PLC output,,SSR bd CN11-10
CN11,MR-20RMW,11,735,DUST INHALE ELIMINATE,PLC output,,SSR bd CN11-11
CN11,MR-20RMW,12,736,OIL HOLE,PLC output,,SSR bd CN11-12
CN11,MR-20RMW,13,731,FLOOD COOLANT,PLC output,,SSR bd CN11-13
CN11,MR-20RMW,14,727,MAGAZINE COVER CLOSE,PLC output,,SSR bd CN11-14
CN11,MR-20RMW,15,736,FLOOD COOLANT MOTOR STARTER (p85 reads 736; p140/p78 read 836 - jacket read decides),PLC output,,SSR bd CN11-15
CN11,MR-20RMW,16,835,HYDR. PUMP HEAD LUBE PUMP,PLC output,,SSR bd CN11-16
CN11,MR-20RMW,17,,(not used),spare,,
CN11,MR-20RMW,18,,(not used),spare,,
CN11,MR-20RMW,19,0G,DC24V -COM (NC),common,,SSR bd CN11-19
CN11,MR-20RMW,20,0G,DC24V -COM (NC),common,,SSR bd CN11-20
CN11-SSR,MR-20 (AMD/LFH),1,708B,MAGAZINE CW (REV),SSR out,,
CN11-SSR,MR-20 (AMD/LFH),2,708A,MAGAZINE CCW (FOR),SSR out,,
CN11-SSR,MR-20 (AMD/LFH),3,710,TOOL UNCLAMP,SSR out,,
CN11-SSR,MR-20 (AMD/LFH),4,712,GEAR SHIFT HIGH,SSR out,,
