Label_Text,Wire,Old_Location,Signal,Mesa_Card,Connector,Logical_Channel,Physical_Pin,Authority_ID,Authority_Status,Crosswalk_Status,Release_Status
A-TB2-01,208,CN1-1,TOOL UNCLAMP,7i84U-A,TB2,IN16,TB2-01,TOOL_UNCLAMP_CONF,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB2-02,210,CN1-3,HIGH GEAR,7i84U-A,TB2,IN17,TB2-02,GEAR_HI_CONF,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB2-03,212,CN1-4,LOW GEAR,7i84U-A,TB2,IN18,TB2-03,GEAR_LO_CONF,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB2-04,150,CN2-4,MAGAZINE ROT POS 1,7i84U-A,TB2,IN19,TB2-04,MAG_BCD_BIT0,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-05,221,CN2-5,MAGAZINE ROT POS 2,7i84U-A,TB2,IN20,TB2-05,MAG_BCD_BIT1,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-06,222,CN2-6,MAGAZINE ROT POS 4,7i84U-A,TB2,IN21,TB2-06,MAG_BCD_BIT2,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-07,223,CN2-7,MAGAZINE ROT POS 8,7i84U-A,TB2,IN22,TB2-07,MAG_BCD_BIT3,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-08,224,CN2-8,MAGAZINE ROT POS 10,7i84U-A,TB2,IN23,TB2-08,MAG_BCD_BIT4,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-10,355,CN6-39,SPINDLE HEAD LUBE PRESSURE,7i84U-A,TB2,IN25,TB2-10,LUBE_OK,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB2-13,225,CN2-9,MAGAZINE POSITION OK,7i84U-A,TB2,IN28,TB2-13,MAG_IN_POS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-16,SA,CN6-7,SERVO READY,7i84U-A,TB2,IN31,TB2-16,SERVO_READY,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-06,231,CN4-1,SPINDLE ZERO SPEED,7i84U-A,TB3,IN5,TB3-06,SPINDLE_ZERO_SPEED,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-07,218,CN2-11,MAGAZINE COVER OPEN,7i84U-A,TB3,IN6,TB3-07,MAG_COVER_OPEN_CONF,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB3-10,149,CN2-3,TOOL UNCLAMP (FOOT SW),7i84U-A,TB3,IN9,TB3-10,MANUAL_TOOL_UNCLAMP_PB,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
A-TB3-16,209,CN1-2,TOOL CLAMP,7i84U-A,TB3,IN15,TB3-16,TOOL_CLAMP_CONF,FACTORY_INTERFACE,PINOUT_VERIFIED,HOLD_SOURCE_TRACE
B-TB3-03,+LY,CN3-37,+Y OVER TRAVEL,7i84U-B,TB3,IN2,TB3-03,Y_LIMIT_PLUS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-05,+LTZ,CN2-14,Z-AXIS OVER TRAVEL,7i84U-B,TB3,IN4,TB3-05,Z_LIMIT_PLUS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-06,-LZ,CN3-38,-Z OVER TRAVEL,7i84U-B,TB3,IN5,TB3-06,Z_LIMIT_MINUS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-07,*DECX,CN2-15,X-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN6,TB3-07,X_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-08,*DECY,CN2-16,Y-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN7,TB3-08,Y_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-09,*DECZ,CN1-14,Z-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN8,TB3-09,Z_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
