signal_id,cnd_source_pin,factory_wire,bottom_cn_pin,mesa_destination,source_provenance
GEAR_HI_CONF,CN8-3,210,CN1-3,7i84U-A TB2 IN17,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
GEAR_LO_CONF,CN8-4,212,CN1-4,7i84U-A TB2 IN18,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
LUBE_OK,CND3-39,355,CN6-39,7i84U-A TB2 IN25,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
MAG_BCD_BIT0,CND2-4,150,CN2-4,7i84U-A TB2 IN19,BBIA-1 board pinout (trusted over pg135)
MAG_BCD_BIT1,CND2-5,221,CN2-5,7i84U-A TB2 IN20,BBIA-1 board pinout (trusted over pg135)
MAG_BCD_BIT2,CND2-6,222,CN2-6,7i84U-A TB2 IN21,BBIA-1 board pinout (trusted over pg135)
MAG_BCD_BIT3,CND2-7,223,CN2-7,7i84U-A TB2 IN22,BBIA-1 board pinout (trusted over pg135)
MAG_BCD_BIT4,CND2-8,224,CN2-8,7i84U-A TB2 IN23,BBIA-1 board pinout (trusted over pg135)
MAG_COVER_CLOSE_CONF,CN2-12,219,CN2-12,7i84U-A TB3 IN7,"RESOLVED 2026-08-10: wire 219 confirmed by two independent sources - Dwg 4143075409 pg135 (RS-19 MGCCRS at T.U CN2-12) and BBIA-1 board pinout CSV (CN2-12 = wire219; board labels the pin MAGAZINE FWD/REV SW - label mismatch, wire# match trusted)"
MAG_COVER_OPEN_CONF,CND2-11,218,CN2-11,7i84U-A TB3 IN6,BBIA-1 pinout: COVER OPEN at CN2-11 (wire 218 also lands CN2-10=POWER OPEN)
MAG_TOOL_AVAILABLE,CN2-13,381,CN2-13,7i84U-A TB3 IN2,"RESOLVED 2026-08-10: Dwg 4143075409 pg135 confirms wire 381 = TOOL DETECTOR (PHS-181) at T.U CN2-13, matching the BBIA-1 board pinout's wire# at CN2-13 even though the board labels that pin LUBE TIMER (label mismatch, wire# + independent schematic corroboration trusted); supersedes the prior CN6-37 ambiguity"
MANUAL_TOOL_UNCLAMP_PB,CND2-3,149,CN2-3,7i84U-A TB3 IN9,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
SPINDLE_ZERO_SPEED,CN4-1,231,CN4-1,7i84U-A TB3 IN5,BBIA-1 board pinout (trusted over pg135)
TOOL_CLAMP_CONF,CN8-2,209,CN1-2,7i84U-A TB3 IN15,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
TOOL_UNCLAMP_CONF,CN8-1,208,CN1-1,7i84U-A TB2 IN16,verified wire# -> BBIA-1 pinout (CNDx pin = CNx pin)
AIR_BLAST,,,,7i84U-B TB3 OUT3,AMBIGUOUS 2026-08-10: CN11-6 (wire215 SPINDLE AIR BLAST) vs CN11-7 (wire216 WORK AIR BLAST) both plausible for SOL-62 (RLY-5) - no wire# for SOL-62 found to disambiguate; verify against parts list pp.85-91 before landing
ATC_BARRIER_SOL,,,,7i84U-B TB3 OUT6,"NOT LOCATED 2026-08-10 (CN12 lead dropped): CN12 is now fully transcribed (dwg 4143175309 p78) and confirmed 2PC/pallet-changer-only - every function label reconciled against its terminal-strip (PALLET SELECT/LOAD/UNLOAD/DOOR CLOSE/OPEN etc) is pallet-specific. Y095 TCME.M barrier-expand is an ATC-area signal, not a pallet function, so CN12 is not the right connector after all. Still not located anywhere - needs a different lead (not this page/board)"
ATC_ZONE_Y,CN3-44,+LY2,CN3-44,7i84U-A TB3 IN0,RESOLVED 2026-08-10: Dwg 4143075409 pg135 '2nd +Y OVER TRAVEL' = PRS-55 wire +LY2 at T.U CN3-44 - matches authority CSV's PRS-55 citation exactly
ATC_ZONE_Z,CN3-39,-LZ2,CN3-39,7i84U-A TB3 IN1,RESOLVED 2026-08-10: Dwg 4143075409 pg135 '2nd -Z OVER TRAVEL' = PRS-66 wire -LZ2 at T.U CN3-39 - matches authority CSV's PRS-66 citation exactly
COOLANT_LOW,CN1-5,232,CN1-5,7i84U-A TB2 IN26,"CANDIDATE 2026-08-10: BBIA-1 board pinout CN1-5 = wire232 '2nd-S LEVEL' (function: coolant lvl) - plausible match for coolant level switch; not cross-checked against a ladder-side wire# this session, verify polarity/normal-state before commissioning"
COOLANT_ON,CN11-15,236,SSR bd CN11-15,7i84U-A TB2 OUT11,"RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin15 = wire236 FLOOD COOLANT MOTOR STARTER, matching 'coolant pump relay' (motor starter = pump, distinct from FLOOD_VALVE at CN11-13). NB pin15 shares wire236 with pin12 OIL HOLE - a data-quality flag in the source CSV, not resolved here"
DOOR_INTERLOCK,CN2-38,238,CN2-38,7i84U-A TB2 IN24,"RESOLVED 2026-08-10 (primary): BBIA-1 board pinout CN2-38 = wire238 MACHINE DOOR INTERLOCK (mirrored at CN6-23, same wire# - internally consistent). ALT candidate: Dwg 4143075407 pg133 T.U CN3-3 wire142 MDINT.M (ladder-side finding, different wire#, not reconciled with the board pinout). Door-interlock chain is series-wired with LS-140/141 per open_issues.md so more than one physical contact may legitimately exist"
FLOOD_VALVE,CN11-13,231,SSR bd CN11-13,7i84U-B TB3 OUT7,"RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin13 = wire231 FLOOD COOLANT, matching 'flood coolant valve, separate from pump motor' (Y011 FCL) - distinct from COOLANT_ON/pump-motor at CN11-15"
GEAR_HI_SOL,CN11-4,712,SSR bd CN11-4,7i84U-A TB3 OUT7,"RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin4 = wire712 GEAR SHIFT HIGH (PLC-output/BBIA-1 side); downstream at the solenoid this becomes wire412 per pg100 TB-51 (SOL-12) - different wire# across the SSR-board relay contact is normal, CN11-4 is the correct Mesa landing point"
GEAR_LO_SOL,CN11-5,213,SSR bd CN11-5,7i84U-A TB2 OUT8,RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin5 = wire213 GEAR SHIFT LOW (PLC-output/BBIA-1 side); downstream becomes wire413 per pg100 TB-51 (SOL-13) - CN11-5 is the correct Mesa landing point
HYD_PRESS_OK,,,,7i84U-A TB2 IN27,"NOT LOCATED 2026-08-10 (checked further): searched every mined ladder doc (docs/ladder/*.md) and the element crosswalk for a hydraulic pressure switch / PS- designator - the only pressure switch found anywhere is PS-5 (head-lube, already used for LUBE_OK). No hydraulic-pressure PLC input (X-address) surfaced. Possible this is a NEW sensor the retrofit is adding rather than a factory-existing signal - needs field trace or owner confirmation of whether Sanwa SPS-8T-PC-20 is already installed"
HYD_PUMP_ON,CN11-16,235,SSR bd CN11-16,7i84U-A TB3 OUT3,BBIA-1 terminal-unit CN11 pin16 (dwg 4113075022 sheet 85 / 41434WB p85) read 2026-08-10 - see wiring/bbia1_cn_pinouts.csv; NOT the SSR-board's own CN11 (see CN11-SSR)
MAG_IN_POS,CND2-9,225,CN2-9,7i84U-A TB2 IN28,BBIA-1 board pinout (trusted over pg135)
MANUAL_TOOL_CLAMP_PB,CN2-44,149B,CN2-44,7i84U-A TB2 IN30,"RESOLVED 2026-08-10: confirmed by Dwg 4143075407 pg133 (T.U CN2-44, TCCFS.M, wire149B), matching the pre-existing authority CSV LOCATED note; cross-verified directly against BBIA-1 board pinout (CN2-44 = wire149B FOOT SWITCH)"
SERVO_READY,CN6-7,SA,CN6-7,7i84U-A TB2 IN31,"RESOLVED 2026-08-10: BBIA-1 board pinout CN6-7 = wire mnemonic SA, function SERVO READY - exact label match"
SPINDLE_ENABLE,,,,7i84U-A TB3 OUT2,"N/A 2026-08-10: no discrete OEM wire - spindle-motion-permit is a new HAL-internal logical gate combining FWD/REV/RUN/ORCM1/watchdog/E-stop/servo-ready/spindle-fault, not a 1:1 terminal-unit signal"
SPINDLE_FAULT,CN4-3,FA,CN4-3,7i84U-A TB3 IN14,"RESOLVED 2026-08-10: Dwg 4143075408 pg134 T.U CN4-3/CN4-4 = wire mnemonics FA/FC 'SPINDLE CONTROLLER NORMAL', matching the authority note's FR-SX FA(t11)/FC(t12); BBIA-1 board pinout CN4-3='FA' labels it SPINDLE REV ROLLER THERMAL (label differs, mnemonic matches - trusted). Land IN14 from CN4-3; CN4-4 is the common return"
SPINDLE_FWD,CN4-9,SRN,CN4-9,7i84U-A TB3 OUT0,CANDIDATE 2026-08-10: Dwg 4143075408 pg134 shows SPINDLE FORWARD landing at both T.U CN3-11 and CN4-9 (both wire mnemonic SRN - CN3/CN4 are parallel connectors into the same spindle-controller circuit per bbia1_terminal_unit.md). Chose CN4 (dedicated 20-pin spindle connector) for consistency with the SPINDLE_ZERO_SPEED precedent (CN4-1); CN3-11 is an equally valid alternate landing point
SPINDLE_ORIENT_ARRIVAL,CN4-16,SETA,CN4-16,7i84U-A TB3 IN4,"LOW CONFIDENCE 2026-08-10: pre-existing authority note flags this as unverified (FR-SX OBA1(t22)/OBA2(t23) -> CN4-16/CN4-17, 'digits verify'); BBIA-1 board pinout shows CN4-16/17 labeled SETA/SETB not OBA1/OBA2 - functionally plausible (orient-arrival confirmation bits) but not independently corroborated by wire# or a dedicated schematic row this session. Field-verify before commissioning"
SPINDLE_ORIENT_CMD,CN3-14,ORI C1,CN3-14,7i84U-A TB3 OUT4,"RESOLVED (pre-existing, reconfirmed 2026-08-10): authority CSV LOCATED note + Dwg 4143075408 pg134 T.U CN3-14 wire4-12 agree; BBIA-1 board pinout CN3-14 = 'ORI C1' matches"
SPINDLE_ORIENT_LOGEAR,CN3-15,CTL,CN3-15,7i84U-A TB3 OUT5,"RESOLVED (pre-existing, reconfirmed 2026-08-10): authority CSV LOCATED note + Dwg 4143075408 pg134 T.U CN3-15 wire4-13 agree; BBIA-1 board pinout CN3-15 = 'CTL' matches"
SPINDLE_REV,CN4-10,SRI,CN4-10,7i84U-A TB3 OUT1,"CANDIDATE 2026-08-10: Dwg 4143075408 pg134 shows SPINDLE REVERSE landing at both T.U CN3-12 and CN4-10 (both wire mnemonic SRI, parallel connectors). Chose CN4 for consistency with SPINDLE_ZERO_SPEED/SPINDLE_FWD; CN3-12 is an equally valid alternate"
SPINDLE_SPEED_CMD,,,,7i49 P1 Analog TB AOUT3,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - the old NC-side analog path was CND5-4/5 'S ANALOG OUTPUT' (Dwg 4143075408 pg134) direct to the spindle controller CON1, separate from the digital I/O terminal unit; new Mesa analog wiring reuses the factory cable to the FR-SX SE1/SE2/SE3 terminals per servo_amp_analysis.md, not through CN1-CN12"
SPINDLE_TOOL_AVAILABLE,CN6-50,382,CN6-50,7i84U-A TB3 IN3,"CANDIDATE 2026-08-10: BBIA-1 board pinout CN6-50 = wire382 MAGAZINE SPINDLE TOOL DETECTOR (best label match for PHS-182 spindle-tool-available); same wire382 also appears at CN2-42 SPINDLE TOOL CLAMP OK. Dwg 4143075408 pg134 shows a third candidate T.U CN3-44 'SPTDPRS' with no confirmed wire# - three plausible pins for one signal, verify in field before landing"
TAP_COOLANT_BLAST,,,,7i84U-B TB3 OUT5,"NOT LOCATED 2026-08-10 (CN12 lead dropped): CN12 is now fully transcribed (dwg 4143175309 p78) and confirmed 2PC/pallet-changer-only - every function label reconciled against its terminal-strip (PALLET SELECT/LOAD/UNLOAD/DOOR CLOSE/OPEN etc) is pallet-specific. SOL-61 tap-coolant is a coolant-subsystem signal, not a pallet function, so CN12 is not the right connector. Still not located anywhere - possibly a direct CB-panel landing outside BBIA-1's pass-through set, needs a different lead"
THERMAL_ALARM_CHAIN,CN5-1,144,CN5-1,7i84U-A TB3 IN8,"RESOLVED 2026-08-10: Dwg 4143075407 pg133 confirms series chain T.U CN5-1 (wire144 THR.M/TRP.M external trip protector) + T.U CN5-3 (wire146/OHT.A main transformer overheat) - matches the pre-existing authority LOCATED note on both pins. BBIA-1 board pinout CN5-1='EXTERNAL TRIP PROTECTOR' wire144 confirms; CN5-3='OVER RUN EMG STOP' wire146 (board label differs from OHT mnemonic, wire# match trusted). Land IN8 from CN5-1 in series with CN5-3"
TOOL_CLAMP_SOL,,,,7i84U-A TB2 OUT9,"N/A 2026-08-10: eliminated per authority CSV (PHANTOM/NOT_USED) - SOL-10 is single-coil spring-return, clamp=de-energize, no separate clamp solenoid exists to land"
TOOL_UNCLAMP_SOL,CN11-3,710,SSR bd CN11-3,7i84U-A TB2 OUT10,"RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin3 = wire710 TOOL UNCLAMP - exact label match, consistent with SOL-10 single-coil spring-return (energize=unclamp)"
TOUCH_SENSOR_BLAST,CN11-10,261,SSR bd CN11-10,7i84U-B TB3 OUT4,"RESOLVED 2026-08-10: BBIA-1 terminal-unit CN11 pin10 = wire261 AIR JET - matches 'MMS touch-sensor air jet' (SOL-35) exactly, the only air-jet entry on CN11"
X_AXIS_CMD,,,,7i49 P1 Analog TB AOUT0,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - factory servo-command cabling connects the X servo amp directly to the NC's servo-interface hardware, not through CN1-CN12; new Mesa analog wiring reuses that factory cable to 7i49, per resolver_commissioning.md / servo_amp_analysis.md"
X_DRIVE_ENABLE,,,,7i84U-B TB3 OUT0,"N/A 2026-08-10: new signal - interposing relay lands directly at MELDAS DK-427 ENA input, not via a BBIA-1 pass-through pin (no OEM equivalent existed; ENA is a new Mesa-driven control point)"
SERVO_FAULT,CN6-27,SER,CN6-27,7i84U-A TB3 IN10,"RESOLVED 2026-08-11 (owner decision AG): CN6-27 = wire mnemonic SER, function SERVO ERROR - the SINGLE combined servo-alarm contact for all three axes (only one SER entry on the 50-pin CN6; docs/servo_amp_analysis.md 3.3 confirms SERVO ALARM lands at the terminal unit's CN6). Consolidated to one 7i84U-A input (IN10) that fans out to all three joint amp-faults; the former per-axis X/Y/Z_DRIVE_FAULT (IN10/11/12) design is retired and IN11/IN12 are freed to spare"
X_HOME,CN2-15,*DECX,CN2-15,7i84U-B TB3 IN6,RESOLVED 2026-08-10: Dwg 4143075410 pg136 T.U row shows pin -15 under 'X AXIS ZERO RETURN DECELERATION' (*DECX); BBIA-1 board pinout confirms CN2-15 = wire mnemonic *DECX - matches LS-42 per authority LOCATED note
X_LIMIT_MINUS,,,,7i84U-B TB3 IN1,"NOT INDIVIDUALLY LOCATED 2026-08-10: Dwg 4143075410 pg136 (Motion Switch Input 4) shows -X OVER TRAVEL (*-LX) with NO connector-box label on the T.U. row - unlike +Y(CN3-37)/-Z(CN3-38) which ARE individually called out, X-axis over-travel appears to bypass BBIA-1 as a discrete pin (may be relay-combined upstream, or land on a terminal block outside the 19-connector family). Needs field trace - do not assume a pin"
X_LIMIT_PLUS,,,,7i84U-B TB3 IN0,NOT INDIVIDUALLY LOCATED 2026-08-10: same finding as X_LIMIT_MINUS - +X OVER TRAVEL (*+LX) has no BBIA-1 connector-box label on Dwg 4143075410 pg136. Needs field trace
X_RESOLVER,,,,7i49 P1 Resolver channel RES0,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - factory resolver cabling (RT-5XA-11 windings) connects the X servo amp's resolver directly via CNA3 (per resolver_commissioning.md), not through CN1-CN12; reused as-is to 7i49"
Y_AXIS_CMD,,,,7i49 P1 Analog TB AOUT2,"N/A 2026-08-10: not a BBIA-1 19-connector pass-through signal - same reasoning as X_AXIS_CMD, factory cable direct to servo amp"
