Terminal,Physical_Pin,Signal,HAL_Net,Authority_Status,Release_Status
TB3-IN0,TB3-01,X LIMIT+ (NC),limit-x-plus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN1,TB3-02,X LIMIT- (NC),limit-x-minus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN2,TB3-03,Y LIMIT+ (NC),limit-y-plus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN3,TB3-04,Y LIMIT- (NC),limit-y-minus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN4,TB3-05,Z LIMIT+ (NC),limit-z-plus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN5,TB3-06,Z LIMIT- (NC),limit-z-minus,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN6,TB3-07,X HOME (LS-42? VERIFY),home-x,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN7,TB3-08,Y HOME (LS-52? VERIFY),home-y,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN8,TB3-09,"Z HOME (LS-62, TB-51)",home-z,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-IN9,TB3-10,AIR PRESSURE OK,air-ok,PROPOSED,HOLD_TRACE
TB3-IN15,TB3-16,PROBE SKIP1 (MP-3; NC? VERIFY),none,RESERVED,HOLD_RESERVED
TB3-OUT0,TB3-17,X ENABLE (DK-427; RLY TBD),x-enable,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-OUT1,TB3-18,Y ENABLE (DK-427; RLY TBD),y-enable,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-OUT2,TB3-19,Z ENABLE (DK-427; RLY TBD),z-enable,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-OUT3,TB3-20,SPINDLE AIR BLAST (SOL-15 / RLY-5),air-blast,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-OUT4,TB3-21,WORK AIR BLAST (SOL-16 / RLY-6),none,RESERVED,HOLD_RESERVED
TB3-OUT5,TB3-22,NOT USED (no tap-coolant solenoid),none,NOT_USED,HOLD_NOT_USED
TB3-OUT6,TB3-23,ATC BARRIER (Y095? VERIFY),atc-barrier,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB3-OUT7,TB3-24,FLOOD VALVE (Y011; TRACE),flood-valve,FACTORY_INTERFACE,HOLD_FACTORY_INTERFACE
TB2-OUT8,TB2-17,MAG COVER CLOSE (PROPOSED),mag-cover-close,PROPOSED,HOLD_TRACE
TB2-OUT9,TB2-18,WORK LIGHT (100VAC / RLY-8),none,RESERVED,HOLD_RESERVED
