Label_Text,Wire,Old_Location,Signal,Mesa_Card,Connector,Logical_Channel,Physical_Pin,Authority_ID,Authority_Status,Crosswalk_Status,Release_Status
A-TB2-01,208,CN1-1,TOOL UNCLAMP,7i84U-A,TB2,IN16,TB2-01,TOOL_UNCLAMP_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-16,209,CN1-2,TOOL CLAMP,7i84U-A,TB3,IN15,TB3-16,TOOL_CLAMP_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-02,210,CN1-3,HIGH GEAR,7i84U-A,TB2,IN17,TB2-02,GEAR_HI_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-03,212,CN1-4,LOW GEAR,7i84U-A,TB2,IN18,TB2-03,GEAR_LO_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-09,*DECZ,CN1-14,Z-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN8,TB3-09,Z_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-10,149,CN2-3,TOOL UNCLAMP (FOOT SW),7i84U-A,TB3,IN9,TB3-10,MANUAL_TOOL_UNCLAMP_PB,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-04,221,CN2-5,MAGAZINE POSITION 1,7i84U-A,TB2,IN19,TB2-04,MAG_BCD_BIT0,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-05,222,CN2-6,MAGAZINE POSITION 2,7i84U-A,TB2,IN20,TB2-05,MAG_BCD_BIT1,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-06,223,CN2-7,MAGAZINE POSITION 4,7i84U-A,TB2,IN21,TB2-06,MAG_BCD_BIT2,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-07,224,CN2-8,MAGAZINE POSITION 8,7i84U-A,TB2,IN22,TB2-07,MAG_BCD_BIT3,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-08,225,CN2-9,MAGAZINE POSITION 10,7i84U-A,TB2,IN23,TB2-08,MAG_BCD_BIT4,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-13,213,CN2-10,MAGAZINE INPOSITION (MIPRS PRS-13),7i84U-A,TB2,IN28,TB2-13,MAG_IN_POS,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-07,218,CN2-11,MAGAZINE COVER OPEN,7i84U-A,TB3,IN6,TB3-07,MAG_COVER_OPEN_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-08,219,CN2-12,MAGAZINE COVER CLOSE (RS-19 MGCCRS X53),7i84U-A,TB3,IN7,TB3-08,MAG_COVER_CLOSE_CONF,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-03,381,CN2-13,TOOL DETECTOR (PHS-181; p85 CN6-37 reads 391 - jacket read decides),7i84U-A,TB3,IN2,TB3-03,MAG_TOOL_AVAILABLE,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-07,*DECX,CN2-15,X-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN6,TB3-07,X_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
B-TB3-08,*DECY,CN2-16,Y-AXIS ZERO RETURN DEC,7i84U-B,TB3,IN7,TB3-08,Y_HOME,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-09,341,CN2-38,MACHINE DOOR INTERLOCK,7i84U-A,TB2,IN24,TB2-09,DOOR_INTERLOCK,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB2-15,149B,CN2-44,TOOL CLAMP FOOT SWITCH,7i84U-A,TB2,IN30,TB2-15,MANUAL_TOOL_CLAMP_PB,RESERVED,PLANNED_MATCH,HOLD_SOURCE_TRACE
A-TB3-21,ORC1,CN3-14,ORIENT COMMAND,7i84U-A,TB3,OUT4,TB3-21,SPINDLE_ORIENT_CMD,FACTORY_INTERFACE,PLANNED_MATCH,HOLD_SOURCE_TRACE
