Label_Text,Mesa_Card,Terminal,Signal,Voltage_Class,Notes,Authority_ID,Authority_Status,Release_Status
A-TB1-01,7i84U-A,TB1-01,VFIELDB +24V (TB2 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84U_FIELD_B_24V,PROPOSED,HOLD_TRACE
A-TB1-02,7i84U-A,TB1-02,VFIELDB +24V (TB2 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84U_FIELD_B_24V,PROPOSED,HOLD_TRACE
A-TB1-03,7i84U-A,TB1-03,VFIELDA +24V (TB3 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84U_FIELD_A_24V,PROPOSED,HOLD_TRACE
A-TB1-04,7i84U-A,TB1-04,VFIELDA +24V (TB3 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84U_FIELD_A_24V,PROPOSED,HOLD_TRACE
A-TB1-05,7i84U-A,TB1-05,VIN LOGIC +24V,+24VDC,VERIFY W1 JUMPER,SEVENI84U_VIN_24V,ELECTRICALLY_VERIFIED,RELEASED
A-TB1-06,7i84U-A,TB1-06,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84U_GND,PROPOSED,HOLD_TRACE
A-TB1-07,7i84U-A,TB1-07,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84U_GND,PROPOSED,HOLD_TRACE
A-TB1-08,7i84U-A,TB1-08,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84U_GND,PROPOSED,HOLD_TRACE
B-TB1-01,7i84U-B,TB1-01,VFIELDB +24V (TB2 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84UB_FIELD_B_24V,PROPOSED,HOLD_TRACE
B-TB1-02,7i84U-B,TB1-02,VFIELDB +24V (TB2 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84UB_FIELD_B_24V,PROPOSED,HOLD_TRACE
B-TB1-03,7i84U-B,TB1-03,VFIELDA +24V (TB3 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84UB_FIELD_A_24V,PROPOSED,HOLD_TRACE
B-TB1-04,7i84U-B,TB1-04,VFIELDA +24V (TB3 BANK),+24VDC,FUSE ONLY - NO SWITCH IN FEED,SEVENI84UB_FIELD_A_24V,PROPOSED,HOLD_TRACE
B-TB1-05,7i84U-B,TB1-05,VIN LOGIC +24V,+24VDC,VERIFY W1 JUMPER,SEVENI84UB_VIN_24V,PROPOSED,HOLD_TRACE
B-TB1-06,7i84U-B,TB1-06,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84UB_GND,PROPOSED,HOLD_TRACE
B-TB1-07,7i84U-B,TB1-07,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84UB_GND,PROPOSED,HOLD_TRACE
B-TB1-08,7i84U-B,TB1-08,FIELD/VIN COMMON 0V,0V RETURN,,SEVENI84UB_GND,PROPOSED,HOLD_TRACE
