plane,signal_id,oem_connector,oem_pin,factory_wire,oem_signal,function,inside_connector,outside_connector,disposition,mesa_card,mesa_connector,mesa_pin_channel,hal_net,authority_status,landing_status,required_verification,source_reference
A,,CN200,1,MMS RDY,MMS READY,MMS receiver,CND4-28,CN200-1,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,2,SEN RDY,SENSOR READY,MMS receiver,CND4-29,CN200-2,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,PROBE_SKIP1_CANDIDATE,CN200,3,MMS SKIP,MMS SKIP,MMS receiver,CND2-14,CN200-3,MESA_ROUTE_CANDIDATE,7i84U-B,TB3,IN15,none,RESERVED,HOLD_SOURCE_TRACE,"RESERVED 2026-08-21 (owner decision): probe out of scope per mesa/current_pin_authority.csv PROBE_SKIP1; hal_net none, TB3 IN15 spare. If re-scoped: continuity-trace the installed Renishaw MP-3 interface to CN200-3 and verify voltage, idle polarity, and fail-open behavior; MMS SKIP alone does not prove this is the retained probe conductor.","41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,4,MMS ST,MMS START,MMS receiver,CND4-30,CN200-4,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,5,MMS PON,MMS POWER ON,MMS receiver,CND4-27,CN200-5,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,6,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,7,0G,DC24V COM (-) NC,common,CND4-1,CN200-7,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,8,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,9,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,10,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,11,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,12,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,13,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,14,MMS STCMD,MMS START (COMMAND),MMS receiver,CND2-29,CN200-14,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,15,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,16,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,17,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,18,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,19,,(not used - blank on source table),spare,,,NO_CONNECTION,none,none,none,none,UNALLOCATED,NO_CONNECTION,No conductor to land; positively unused on the cited OEM table.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN200,20,+24V,DC24V +COM (NC),power,CND4-33,CN200-20,OEM_POWER_OR_COMMON,none,none,none,none,UNALLOCATED,OEM_POWER_OR_COMMON,Do not assign to a signal input/output; preserve the documented electrical domain and verify rail disposition separately.,"41434WB PDF p74, dwg 4143075304; p85, dwg 4143075322"
A,,CN2,1,362,MAGAZINE TIMER,ATC,CNQ-36,CA4-W,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
A,,CN2,2,351,MAGAZINE FWD/REV SHIFTER,ATC,CNQ-37,CA4-V,NO_MESA_ALLOCATION,none,none,none,none,UNALLOCATED,NO_MESA_ALLOCATION,No current Mesa authority row claims this conductor; review only if the OEM function is retained.,"41434WB PDF p84, dwg 4143075321"
