plane,signal_id,subsystem,oem_connector,oem_pin,oem_signal,oem_lead,mesa_card,mesa_connector,mesa_pin,mesa_signal,route_status,required_verification,source_reference
B,X_RES_SIN_POS,Resolver feedback,CNA3,12,Resolver exciter SIN,A,7i49,P4,2,RESSIN0+,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_SIN_NEG,Resolver feedback,CNA3,13,Resolver exciter SIN,B,7i49,P4,1,RESSIN0-,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_COS_POS,Resolver feedback,CNA3,14,Resolver exciter COS,F,7i49,P4,4,RESCOS0+,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_COS_NEG,Resolver feedback,CNA3,15,Resolver exciter COS,G,7i49,P4,3,RESCOS0-,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_DRV_POS,Resolver excitation,CNA3,16,Resolver output,H,7i49,P4,7,RESDRV0+,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_DRV_NEG,Resolver excitation,CNA3,17,Resolver output,J,7i49,P4,6,RESDRV0-,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,X_RES_CASE_GND,Resolver shield,CNA3,20,Sealed ground,N,none,none,none,none,HOLD_SHIELD_TOPOLOGY,"Do not connect to a 7i49 GND until case bond and pair-shield topology are documented; new pair shields terminate at 7i49 end only","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; measured 0 ohm to chassis 2026-08-16"
B,X_RES_PAIR_SHIELDS,Resolver shield,new cable,three pair drains,RESDRV/RESSIN/RESCOS shields,,7i49,P4,5 or 8,GND,DESIGN_CONFIRMED_FIELD_PENDING,"Terminate all three pair shields at 7i49 end only; insulate at CNA3 end","7i49man.pdf printed pp5 and 12; docs/grounding_shielding_plan.md"
B,Y_RES_SIN_POS,Resolver feedback,CNA4,12,Resolver exciter SIN,A,7i49,P4,10,RESSIN1+,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_SIN_NEG,Resolver feedback,CNA4,13,Resolver exciter SIN,B,7i49,P4,9,RESSIN1-,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_COS_POS,Resolver feedback,CNA4,14,Resolver exciter COS,F,7i49,P4,12,RESCOS1+,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_COS_NEG,Resolver feedback,CNA4,15,Resolver exciter COS,G,7i49,P4,11,RESCOS1-,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_DRV_POS,Resolver excitation,CNA4,16,Resolver output,H,7i49,P4,15,RESDRV1+,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_DRV_NEG,Resolver excitation,CNA4,17,Resolver output,J,7i49,P4,14,RESDRV1-,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p5"
B,Y_RES_CASE_GND,Resolver shield,CNA4,20,Sealed ground,N,none,none,none,none,HOLD_SHIELD_TOPOLOGY,"Do not connect to a 7i49 GND until case bond and pair-shield topology are documented; new pair shields terminate at 7i49 end only","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; measured 0 ohm to chassis 2026-08-16"
B,Y_RES_PAIR_SHIELDS,Resolver shield,new cable,three pair drains,RESDRV/RESSIN/RESCOS shields,,7i49,P4,13 or 16,GND,DESIGN_CONFIRMED_FIELD_PENDING,"Terminate all three pair shields at 7i49 end only; insulate at CNA4 end","7i49man.pdf printed pp5 and 12; docs/grounding_shielding_plan.md"
B,Z_RES_SIN_POS,Resolver feedback,CNA5,12,Resolver exciter SIN,A,7i49,P3,2,RESSIN2+,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_SIN_NEG,Resolver feedback,CNA5,13,Resolver exciter SIN,B,7i49,P3,1,RESSIN2-,PROPOSED_PHASE_VERIFY,"Confirm positive/negative convention by open-loop direction test; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_COS_POS,Resolver feedback,CNA5,14,Resolver exciter COS,F,7i49,P3,4,RESCOS2+,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_COS_NEG,Resolver feedback,CNA5,15,Resolver exciter COS,G,7i49,P3,3,RESCOS2-,PROPOSED_PHASE_VERIFY,"Confirm SIN/COS orientation and polarity by scope; drive disabled","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_DRV_POS,Resolver excitation,CNA5,16,Resolver output,H,7i49,P3,7,RESDRV2+,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_DRV_NEG,Resolver excitation,CNA5,17,Resolver output,J,7i49,P3,6,RESDRV2-,PROPOSED_PHASE_VERIFY,"Verify 7i49 is sole excitation source; scope RMS before motion","41434WB p128 dwg 4143075404; Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; 7i49man.pdf printed p6"
B,Z_RES_CASE_GND,Resolver shield,CNA5,20,Sealed ground,N,none,none,none,none,HOLD_SHIELD_TOPOLOGY,"Measure CNA5 pin 20 to chassis before deciding disposition; new pair shields terminate at 7i49 end only","Mitsubishi M2 Maintenance Manual Fig 14.4-1 printed p250; Z chassis bond not measured"
B,Z_RES_PAIR_SHIELDS,Resolver shield,new cable,three pair drains,RESDRV/RESSIN/RESCOS shields,,7i49,P3,5 or 8,GND,DESIGN_CONFIRMED_FIELD_PENDING,"Terminate all three pair shields at 7i49 end only; insulate at CNA5 end","7i49man.pdf printed pp6 and 12; docs/grounding_shielding_plan.md"
